label,text
ham,"Hey, are we still meeting for lunch today?"
ham,Don't forget about the assignment due tomorrow.
spam,URGENT! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,Can you send me the notes from yesterday's class?
spam,Final notice: Your account will be suspended. Verify immediately.
spam,Police report filed. Pay fine now or face arrest.
ham,Let's play football this evening at 6.
spam,Your bank account is frozen. Call this number to unlock.
ham,Happy birthday! Wish you a great year ahead.
spam,Congratulations! You have been selected for a free trip to Paris.
